match_id,team1,team2,winner
64932,South Africa,Zimbabwe,South Africa
64933,Australia,New Zealand,Australia
64934,South Africa,Zimbabwe,South Africa
64935,New Zealand,Australia,Australia
64936,Zimbabwe,South Africa,South Africa
64939,India,Pakistan,India
64941,India,Pakistan,Pakistan
64942,India,Pakistan,Pakistan
64943,Pakistan,India,Pakistan
65029,England,Pakistan,Pakistan
65030,Pakistan,England,England
65031,Pakistan,England,England
65032,India,England,England
65033,England,India,England
65034,India,England,India
65235,West Indies,South Africa,West Indies
65236,Zimbabwe,Namibia,Zimbabwe
65237,Sri Lanka,New Zealand,Sri Lanka
65238,Australia,Pakistan,Australia
65239,Canada,Bangladesh,Canada
65240,Kenya,South Africa,South Africa
65241,India,Netherlands,India
65242,New Zealand,West Indies,New Zealand
65244,India,Australia,Australia
65245,Canada,Kenya,Kenya
65246,Netherlands,England,England
65247,Pakistan,Namibia,Pakistan
65248,South Africa,New Zealand,New Zealand
65249,West Indies,Bangladesh,NA
65250,India,Zimbabwe,India
65251,Canada,Sri Lanka,Sri Lanka
65252,England,Namibia,England
65254,Bangladesh,South Africa,South Africa
65255,England,Pakistan,England
65256,Canada,West Indies,West Indies
65257,India,Namibia,India
65258,Kenya,Sri Lanka,Kenya
65259,Zimbabwe,Australia,Australia
65260,Pakistan,Netherlands,Pakistan
65261,Bangladesh,New Zealand,New Zealand
65262,India,England,India
65263,Australia,Namibia,Australia
65264,South Africa,Canada,South Africa
65265,Zimbabwe,Netherlands,Zimbabwe
65266,Sri Lanka,West Indies,Sri Lanka
65267,Kenya,Bangladesh,Kenya
65268,Pakistan,India,India
65269,England,Australia,Australia
65270,Canada,New Zealand,New Zealand
65271,Netherlands,Namibia,Netherlands
65272,Sri Lanka,South Africa,NA
65273,Pakistan,Zimbabwe,NA
65275,Australia,Sri Lanka,Australia
65276,Kenya,India,India
65277,Zimbabwe,New Zealand,New Zealand
65278,India,Sri Lanka,India
65279,Australia,New Zealand,Australia
65280,Zimbabwe,Kenya,Kenya
65281,New Zealand,India,India
65282,Sri Lanka,Zimbabwe,Sri Lanka
65283,Kenya,Australia,Australia
65284,Australia,Sri Lanka,Australia
65285,India,Kenya,India
65286,Australia,India,Australia
65634,Sri Lanka,Australia,Sri Lanka
65635,Australia,England,Australia
65636,Sri Lanka,England,Sri Lanka
65637,Sri Lanka,Australia,Australia
65638,England,Sri Lanka,England
65639,England,Australia,Australia
65640,Sri Lanka,Australia,Australia
65641,England,Australia,Australia
65642,Australia,England,Australia
65643,Australia,India,Australia
65644,Australia,Zimbabwe,Australia
65645,Zimbabwe,India,India
65646,Australia,Zimbabwe,Australia
65647,India,Australia,India
65648,India,Zimbabwe,India
65649,India,Australia,Australia
65652,Australia,Zimbabwe,NA
65653,India,Australia,Australia
65655,India,Australia,Australia
65656,Australia,India,Australia
65659,West Indies,Pakistan,Pakistan
65660,West Indies,Australia,NA
65661,Pakistan,Australia,Australia
65662,Australia,West Indies,Australia
65664,Australia,Pakistan,Pakistan
65665,Pakistan,West Indies,Pakistan
65666,Australia,Pakistan,Australia
65708,Pakistan,Bangladesh,Pakistan
65713,Pakistan,Sri Lanka,Sri Lanka
65714,Bangladesh,Sri Lanka,Sri Lanka
65716,India,Sri Lanka,India
65718,Sri Lanka,India,Sri Lanka
65803,Pakistan,Zimbabwe,Pakistan
65804,Sri Lanka,Pakistan,Pakistan
65805,Kenya,Zimbabwe,Zimbabwe
65806,Sri Lanka,Kenya,Sri Lanka
65807,Sri Lanka,Zimbabwe,Zimbabwe
65808,Pakistan,Kenya,Pakistan
65809,Zimbabwe,Pakistan,Pakistan
66196,England,Zimbabwe,England
66197,New Zealand,United States of America,New Zealand
66198,India,Kenya,India
66200,United States of America,Australia,Australia
66201,Zimbabwe,Sri Lanka,Sri Lanka
66202,Kenya,Pakistan,Pakistan
66203,West Indies,Bangladesh,West Indies
66204,New Zealand,Australia,Australia
66205,England,Sri Lanka,England
66206,South Africa,West Indies,West Indies
66207,India,Pakistan,Pakistan
66208,Australia,England,England
66209,Pakistan,West Indies,West Indies
66210,England,West Indies,West Indies
66283,England,Sri Lanka,England
66284,England,India,India
66293,England,Zimbabwe,Zimbabwe
66294,South Africa,England,England
66295,South Africa,Zimbabwe,South Africa
66296,England,Zimbabwe,NA
66297,England,South Africa,South Africa
66299,Zimbabwe,England,England
66301,Zimbabwe,South Africa,South Africa
66302,South Africa,England,England
66304,England,West Indies,West Indies
66305,England,New Zealand,New Zealand
66306,West Indies,England,England
66309,England,West Indies,West Indies
66311,New Zealand,West Indies,New Zealand
66356,India,South Africa,NA
66357,Pakistan,Sri Lanka,Pakistan
66358,Pakistan,New Zealand,New Zealand
66361,New Zealand,Sri Lanka,New Zealand
66363,Pakistan,New Zealand,New Zealand
66364,India,New Zealand,NA
66365,India,Australia,India
66366,New Zealand,Australia,Australia
66367,Australia,India,Australia
66368,New Zealand,Australia,Australia
66369,India,New Zealand,New Zealand
66372,India,New Zealand,India
66374,Pakistan,India,Pakistan
66375,Australia,India,NA
66377,Australia,Pakistan,Australia
66378,Pakistan,Zimbabwe,Pakistan
66379,Zimbabwe,Pakistan,Pakistan
66380,Sri Lanka,Pakistan,Pakistan
66381,Zimbabwe,Sri Lanka,Sri Lanka
66383,Sri Lanka,Pakistan,Sri Lanka
66385,Australia,New Zealand,New Zealand
66386,Australia,New Zealand,Australia
67517,Australia,England,NA
wi_201706,Trinidad and Tobago,Windward Islands,Trinidad and Tobago
wi_201707,Barbados,Jamaica,Barbados
wi_201713,Guyana,Windward Islands,Guyana
wi_201716,Guyana,Barbados,Barbados
wi_211824,Leeward Islands,Windward Islands,Windward Islands
wi_211825,Barbados,Guyana,Barbados
wi_211826,Jamaica,Trinidad and Tobago,Jamaica
wi_211828,Leeward Islands,Barbados,Barbados
wi_211829,Jamaica,Windward Islands,Jamaica
wi_211830,Barbados,Windward Islands,Barbados
wi_211831,Jamaica,Guyana,Jamaica
wi_211832,Leeward Islands,Trinidad and Tobago,Trinidad and Tobago
wi_211833,Jamaica,Barbados,Barbados
wi_211834,Windward Islands,Trinidad and Tobago,Trinidad and Tobago
wi_211835,Leeward Islands,Guyana,Guyana
wi_211836,Jamaica,Leeward Islands,Jamaica
wi_211838,Windward Islands,Guyana,Guyana
wi_211973,Jamaica,Windward Islands,Jamaica
wi_211976,Trinidad and Tobago,Leeward Islands,Trinidad and Tobago
wi_211977,Jamaica,Barbados,Barbados
wi_211979,Guyana,Leeward Islands,Guyana
wi_212061,Barbados,Trinidad and Tobago,Barbados
wi_212062,Guyana,Jamaica,Jamaica
wi_212063,Windward Islands,Leeward Islands,Windward Islands
wi_212064,Barbados,Jamaica,Barbados
